timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-08-18,2.09,4.44,2.0,3.1,6039881.97,1597795199999,18375373.392336,22593,3458952.5,10596741.994703999,0
2020-08-19,3.1,3.1999,2.64,2.95,15895774.92,1597881599999,47558321.633254,75075,9037381.99,27152372.2278,0
2020-08-20,2.9449,3.1111,2.6,2.9,11040863.6,1597967999999,31457410.866816998,53797,5189595.84,14890085.872345,0
2020-08-21,2.8978,3.09,2.6826,2.833,9765153.74,1598054399999,28393535.853484,50378,5164025.18,15030060.894737,0
2020-08-22,2.8387,4.55,2.782,4.4546,41611476.51,1598140799999,158038898.765092,289179,23427260.15,88968596.115353,0
2020-08-23,4.4756,4.4864,3.7032,3.9779,23845309.65,1598227199999,95428986.261665,175491,11759754.05,47013688.94093,0
2020-08-24,3.9805,4.7983,3.78,4.5759,25843953.12,1598313599999,109846588.655713,189041,14601332.13,61886451.255408,0
2020-08-25,4.5759,5.77,4.48,5.5412,39457369.99,1598399999999,198629064.460091,335897,21588604.34,108864420.93421899,0
2020-08-26,5.5412,6.57,5.1015,6.0708,37811519.74,1598486399999,220764309.967986,323009,22195096.63,129604659.564569,0
2020-08-27,6.0708,6.8,5.2001,5.6547,42626336.42,1598572799999,254544768.74831802,342856,21248677.32,127146658.69595,0
2020-08-28,5.6569,6.35,5.4620000000000015,6.1812,24019172.63,1598659199999,143282994.413159,219336,12411549.07,73969909.30803199,0
2020-08-29,6.1769,6.556,6.0032,6.1333,15360444.96,1598745599999,96738124.107342,158107,7888550.45,49695817.081734,0
2020-08-30,6.1339,6.251,5.6999,5.8912,13266535.91,1598831999999,79304141.69388,152937,6823989.8,40802286.923813,0
2020-08-31,5.8875,6.4662,5.7541,6.2718,13564047.71,1598918399999,83178113.342485,156933,6839851.84,41888927.53428301,0
2020-09-01,6.2712,6.8619,6.12,6.239,16330264.82,1599004799999,105652410.569904,190791,8011059.78,51898427.006216,0
2020-09-02,6.24,6.4472,5.58,6.1374,15500500.04,1599091199999,93395820.33023399,180233,7477224.91,45155970.417901,0
2020-09-03,6.1375,6.3325,5.5471,5.6743,21239867.51,1599177599999,127670120.658439,210984,10121518.46,60968416.183787,0
2020-09-04,5.6743,5.99,4.5,5.1019,28314850.39,1599263999999,149896428.923211,243715,13893028.85,73838844.401612,0
2020-09-05,5.0987,5.3147,3.5321,4.1456,32791302.31,1599350399999,143610169.19112802,256705,15037552.05,66139254.947862,0
2020-09-06,4.1456,4.921,3.7298,4.784,23608694.54,1599436799999,104476521.403038,184455,11878282.29,52716489.385523,0
2020-09-07,4.7849,4.8367,4.001,4.5944,16089613.82,1599523199999,70783102.01142299,135886,7828589.32,34449700.874609,0
2020-09-08,4.5967,4.6339,4.1067,4.2787,10449746.7,1599609599999,45273756.942433,78684,4945532.85,21432968.79637,0
